txn_id,timestamp,sender_id,receiver_id,amount,currency,txn_type,channel,sender_country,receiver_country,is_cross_border,label_is_laundering,pattern_label
T-000001,2025-02-22 18:32:00.000000,C-N0196,C-LAY08,13283.8,USD,deposit,atm,SG,GB,True,,
T-000002,2025-02-07 23:33:00.000000,C-N0068,C-N0168,14693.98,USD,withdrawal,atm,US,CA,True,,
T-000003,2025-01-30 14:32:00.000000,C-N0022,C-N0131,4038.14,USD,withdrawal,branch,AU,DE,True,,
T-000004,2025-02-10 19:21:00.000000,C-N0195,C-N0143,10542.21,USD,transfer,mobile,CA,FR,True,,
T-000005,2025-03-25 19:29:00.000000,C-N0117,C-N0011,5837.52,USD,deposit,branch,SG,US,True,,
T-000006,2025-03-18 03:57:00.000000,C-SMF16,C-N0043,14422.21,USD,withdrawal,branch,CA,JP,True,,
T-000007,2025-01-20 11:10:00.000000,C-N0051,C-N0077,3537.82,USD,transfer,mobile,FR,CA,True,,
T-000008,2025-03-01 05:07:00.000000,C-N0074,C-LAY13,9367.56,USD,withdrawal,atm,SG,JP,True,,
T-000009,2025-01-09 09:24:00.000000,C-SMF19,C-N0156,2841.05,USD,deposit,online,SG,US,True,,
T-000010,2025-01-23 13:30:00.000000,C-N0184,C-N0069,8522.19,USD,deposit,atm,SG,CA,True,,
T-000011,2025-03-13 14:22:00.000000,C-LAY15,C-N0047,9826.1,USD,transfer,mobile,JP,JP,False,,
T-000012,2025-01-25 12:59:00.000000,C-N0093,C-N0146,4042.45,USD,transfer,mobile,DE,FR,True,,
T-000013,2025-01-31 21:14:00.000000,C-N0019,C-N0098,12617.55,USD,withdrawal,branch,FR,DE,True,,
T-000014,2025-02-07 10:07:00.000000,C-N0085,C-N0129,7716.13,USD,transfer,online,DE,CA,True,,
T-000015,2025-03-03 14:14:00.000000,C-RCO06,C-LAY22,13172.4,USD,withdrawal,atm,SG,US,True,,
T-000016,2025-03-27 16:20:00.000000,C-N0021,C-N0114,14381.63,USD,transfer,online,JP,US,True,,
T-000017,2025-02-04 18:22:00.000000,C-N0046,C-N0014,11525.54,USD,transfer,online,GB,DE,True,,
T-000018,2025-01-11 05:52:00.000000,C-N0176,C-N0094,9750.25,USD,transfer,mobile,SG,JP,True,,
T-000019,2025-03-26 11:10:00.000000,C-N0048,C-N0030,5670.58,USD,withdrawal,atm,GB,DE,True,,
T-000020,2025-01-31 12:05:00.000000,C-N0117,C-HUB02,4722.23,USD,transfer,online,AU,JP,True,,
T-000021,2025-03-21 16:52:00.000000,C-N0014,C-N0114,9177.97,USD,withdrawal,branch,AU,US,True,,
T-000022,2025-03-08 08:10:00.000000,C-LAY17,C-LAY18,235276.71,USD,wire,wire,DE,SG,True,True,layering
T-000023,2025-01-14 19:56:00.000000,C-N0064,C-SMF20,9422.13,USD,transfer,mobile,FR,GB,True,,
T-000024,2025-02-21 13:22:00.000000,C-LAY06,C-N0087,1945.98,USD,transfer,mobile,SG,GB,True,,
T-000025,2025-01-05 20:54:00.000000,C-N0006,C-N0196,805.27,USD,deposit,atm,CA,DE,True,,
T-000026,2025-02-21 08:38:00.000000,C-N0181,C-N0124,5887.28,USD,withdrawal,atm,GB,US,True,,
T-000027,2025-02-21 04:36:00.000000,C-N0163,C-N0023,3049.71,USD,withdrawal,branch,AU,SG,True,,
T-000028,2025-01-08 17:11:00.000000,C-N0190,C-SMF22,10641.37,USD,transfer,mobile,CA,JP,True,,
T-000029,2025-02-28 06:41:00.000000,C-N0036,C-LAY23,9552.0,USD,deposit,atm,JP,AU,True,,
T-000030,2025-03-06 05:35:00.000000,C-N0086,C-N0137,2623.42,USD,transfer,online,SG,JP,True,,
T-000031,2025-01-16 01:39:00.000000,C-LAY04,C-N0034,4861.26,USD,transfer,mobile,SG,DE,True,,
T-000032,2025-01-31 22:38:00.000000,C-N0028,C-SMF04,10034.51,USD,withdrawal,atm,AU,CA,True,,
T-000033,2025-02-24 13:30:21.061877,C-RCO04,C-N0150,8808.44,USD,cash,atm,US,US,False,True,rapid_cashout
T-000034,2025-01-16 12:03:00.000000,C-STR01,C-N0100,8907.5,USD,cash,atm,US,US,False,True,structuring
T-000035,2025-03-13 00:33:00.000000,C-N0062,C-STR03,3768.4,USD,deposit,branch,AU,GB,True,,
T-000036,2025-02-26 14:41:00.000000,C-N0088,C-RCO07,333.11,USD,transfer,online,GB,CA,True,,
T-000037,2025-03-29 08:21:00.000000,C-N0079,C-SMF06,12945.69,USD,transfer,online,DE,CA,True,,
T-000038,2025-02-01 00:35:00.000000,C-N0196,C-N0194,10096.57,USD,deposit,branch,JP,GB,True,,
T-000039,2025-01-13 10:33:00.000000,C-HUB02,C-N0171,5800.18,USD,withdrawal,branch,SG,CA,True,,
